!			G1			A			enclitic particle
!			G1			A			vulture, bird in general							
!			G1			A			vulture, bird in general							
!			G1			A			tread							
!			G1			At			striking-power							
!! V 4			G1-X1-N5-Z1			At			striking-power							
!! V			G1-X1-N5			At			moment, instant, time in general							
!! 8 V			G1-X1-Z5-N5			At			moment, instant, time							
!! V 4			G1-X1-N5-Z1			At			moment, instant, time in general							
!! L			G1-X1-F9			At			moment, instant, time in general							
!! L V !			G1-X1-F9-N5			At			moment, instant, time in general							
FV			F3-X1-N5			At			moment, instant, time in general							
1 !! L V			M17-G1-X1-F9-N5			At			moment, instant, time in general							
! h M 1 1 '			G1-I9-D21-M17-M17-Q7			Afry			boil				verb			
! 1 '			G1-G17-Q7			Am			burn, burn up							
! hfo			G1-I9-D46-D56			Afd			part of animal leg							
! ] 1 8			G1-W19-M17-A24			Ami			mix							
! 1 \ F			G1-G17-D36-G38			Ama			a perching bird							
! 1 \ ! `			G1-G17-D36-X1-D40			Amat			ramus of jaw, fork of bone, hinged bone							
! 1 \ ! \			G1-G17-D36-X1-D36			Amat			ramus of jaw, fork of bone, hinged bone							
! 1 \ K ! `			G1-G17-D36-G43-X1-D40			Amat			ramus of jaw, fork of bone, hinged bone							
! 1 1 i			G1-G17-G17-D49			Amm			seize, grasp, attack							
! 1 1 ! i			G1-G17-G17-X1-D49			Ammt			grasp, fist							
! 1 1 K \ 5			G1-G17-G17-G43-D36-Z2			Ammw			gripings medical							
! a e E 5			G1-F31-S29-G37-Z2			Ams			falsehood				variant of iwms			
! a e t			G1-F31-S29-S44			Ams			club, mace, wield the Ams							
! M , 8			G1-D21-T12-A24			Ar			drive away, oppress							
1 M , `			M17-D21-T12-D40			Ar			drive away from							
! 1 M , 8			G1-M17-D21-T12-A24			Ar			oppress the poor							
! M 1 1 ! s			G1-D21-M17-M17-X1-S43			Aryt			staff							
! M ! R			G1-D21-X1-N1			Art			heaven, sky							
! $ 1 1 n			G1-O4-M17-M17-D54			Ahy			descend							
! $ K E			G1-O4-G43-G37			Ahw			misery, trouble, injury, pain, illness							
! $ E			G1-O4-G37			Ahw			misery, trouble							
1 $ : E 5			M17-O4-Z7-G37-Z2			Ahw			misery, trouble							
1 $ LE			M17-O4-Aa2-G37			Ahw			pain							
! $ LE			G1-O4-Aa2-G37			Ahw			pain							
1 $ E			M17-O4-G37			Ahw			misery, trouble							
1 $ ' 8			M17-O4-C7-Z5			Ahw			illness							
! $ : E !			G1-O4-Z7-G37-A1			Ahw			sufferer							
! $ F! E 5			G1-O4-Aa5-X1-G37-Z2			Ahmt			sorrow							
! $ f E			G1-O4-D46-G37			Ahd			quiver, palpitate, be weak							
! $ f"			G1-O4-D46-A2			Ahd			be weak							
! < c 5			G1-V28-N18-Z2			AH			type of bread							
< !;			V28-G1-Z8			AH			type of bread							
! < ! h			G1-V28-X1-N23			AHt			field, arable land, earth, mound							
< !! f 5			V28-G1-X1-N21-Z2			AHwt			fields, arable lands, earth, mould				plural			
! < L & ! !			G1-V28-U6-O6-X1-O1			AH Hwt			tomb - shaft							
! < 1 1 ~			G1-V28-M17-M17-N35A			AHy			wave flood							
( B !			M8-Aa1-X1			Axt			Inundation-season							
(! V			M8-X1-N5			Axt			Inundation season							
!( B !			G1-M8-Aa1-X1			Axt			Inundation season							
! B /			G1-Aa1-M15			Ax			papyrus thicket							
/ y ! Q			M15-L2-X1-O49			Ax bit			Chemmis				locality			
! B / y ! Q			G1-Aa1-M15-L2-X1-O49			Ax bit			Chemmis				locality			
y ! ! B / Q			L2-X1-G1-Aa1-M15-O49			Ax bit			Chemmis				locality			
! B +			G1-Aa1-Y1			Ax			the spirit - state							
9 4			G25-Z1			Ax			the spirit-state							
9 B S			G25-Aa1-A51			Ax			spirit							
9			G25			Ax			spirit							
9 B			G25-Aa1			Ax			spirit							
! B			G1-Aa1			Ax			spirit							
9 4 T			G25-Z1-A52			Ax			spirit							
9 B +			G25-Aa1-Y1			Ax			be a spirit, become a spirit, glorious, splendid, beneficial, useful, profitable, fame							
9			G25			Ax			be, become a spirit, beneficial, useful, profitable				verb			
9 B ! +			G25-Aa1-X1-Y1			Axt			what is good, profitable, useful							
! 9 B			X1-G25-Aa1			Axt			what is good, profitable, useful							
B 9 ! 5			Aa1-G25-X1-Z2			Axt			what is good, profitable, useful							
9 B K + 5			G25-Aa1-G43-Y1-Z2			Axw			power of god, mastery over work							
9 + 5			G25-Y1-Z2			Axw			power of god							
9 B + 5			G25-Aa1-Y1-Z2			Axw			power of god							
9 B +			G25-Aa1-Y1			Axw			power of god							
9 B 5 K			G25-Aa1-Z2-G43			Axw			power of god							
! 9 B h 4			X1-G25-Aa1-N23-Z1			Axt			arable land							
f 9 4			N21-G25-Z1			Axt			arable land							
B 9 ! f			Aa1-G25-X1-N21			Axt			arable land							
9 B ! l			G25-Aa1-X1-I13			Axt			uraes-serpent							
9 ! l			G25-X1-I13			Axt			uraeus - serpent							
9 B ! >			G25-Aa1-X1-D6			Axt			eye of god							
9 B ! '			G25-Aa1-X1-Q7			Axt			flame							
9 B 1 1 ! !			G25-Aa1-M17-M17-X1-O1			Axyt			still-room ?							
l! !			N27-X1-O1			Axyt			still - room							
l! !			N27-X1-O1			Axt			horizon							
9 B ! ;			G25-Aa1-X1-Z8			Axt			horizon, tomb of king							
9 ! l!			G25-X1-N27-O1			Axt			horizon, tomb of king							
ll H			N27-N27-A40			Axty			horizon-dweller							
9 B ! ; g 1			G25-Aa1-X1-Z8-U33-M17			Axty			horizon - dweller							
! 9 B ;; H			X1-G25-Aa1-Z8-Z8-A40			Axty			horizon - dweller							
l! $			N27-X1-G4			Axtyw			horizon - dwellers  a remote people				plural			
l! ! $H 6			N27-X1-O1-G4-A40-Z3			Axtyw			horizon - dwellers							
! B $}			G1-Aa1-G4-N33A			Axtyw			horizon - dwellers							
9 B $} } }			G25-Aa1-G4-B53-B53-B53			Axtyw			horizon - dwellers a remote people				plural			
! B K Y			G1-Aa1-G43-N8			Axw			sunlight, sunshine							
Y '			N8-G7			Axw			sunlight, sunshine							
Y K H			N8-G43-A40			Axw			sunlight, sunshine							
9 B Y			G25-Aa1-N8			Axw			sunlight, sunshine							
1 ! B K Y			M17-G1-Aa1-G43-N8			Axw			sunlight, sunshine							
! B ! K"			G1-Aa1-G1-Aa1-M2			AxAx			grow green							
! B ! B _ _ _			G1-Aa1-G1-Aa1-N14-N14-N14			AxAx			stars							
! B ! B # 5			G1-Aa1-G1-Aa1-M3-Z2			AxAx			spars of ship ?							
! B h+			G1-Aa1-I9-Y1			Axf			fever of appetite ?							
! B h B h '			G1-Aa1-I9-Aa1-I9-Q7			Axfxf			be fiery							
! b \ k			G1-F32-D36-D51			AXa			scratch, srape, carve, engrave							
! b \ ! k			G1-F32-D36-X1-D51			AXat			scratch, scar							
! b q "			G1-F32-D58-A2			AXb			swallow				verb			
! e "n$ 5			G1-S29-V2-D54-X4-Z2			As			a type of cake, bread							
! e "n			G1-S29-V2-D54			As			hurry, flow fast, hasten, overtake, quickly							
! B"n			G1-O34-V2-D54			As			hurry, flow fast, hasten, overtake, quickly				verb and adverb			
! e I			G1-S29-G41			As			bald-headed vulture							
! e L			G1-S29-Aa2			As			bald, viscera				variant of iAs and Ais			
! ! p			Q1-X1-B1			Ast			Isis							
_ ! p			H8-X1-B1			Ast			Isis goddess				divinity			
! ! '			Q1-X1-G7			Ast			Isis goddess				divinity			
!! ! p			G1-Q1-X1-B1			Ast			Isis goddess				divinity			
! Bq F			G1-O34-D58-F3			Asb			fierce, glowing of radience							
! e q '			G1-S29-D58-Q7			Asb			fierce, glowing of radiance							
! e q 1 1 K ' 6			G1-S29-D58-M17-M17-G43-Q7-Z3			Asbyw			flames							
! e B H			G1-S29-Aa1-U2			Asx			sickle							
! e ! s			G1-S29-X1-F51			As   Ast			testicles							
! BB H `			G1-O34-Aa1-U2-D40			Asx			reap							
! e B G			G1-S29-Aa1-U1			Asx			reap							
! e B \			G1-S29-Aa1-D36			Asx			reap							
! v: ` 5			G1-N37-Z7-W22-Z2			AS			a type of drink							
! v M '			G1-N37-D21-Q7			ASr			roast							
! v M s			G1-N37-D21-F51			ASr			roast, roast meat, a roast							
! v M ! s			G1-N37-D21-X1-F51			ASrt			roast joint							
! B M ! R			G1-O34-D21-X1-N1			Asrt			heaven, sky							
! n E			G1-N29-G37			Aq			perish, come to grief							
! n : E 5			G1-N29-Z7-G37-Z2			Aqw			ruin, misfortune							
! n E			G1-N29-G37			Aqw			misfortune							
! n < K ~			G1-N29-V28-G43-T7A			AqHw			battle-axe							
